Topic,Count,Name,Representation,Representative_Docs
-1,475,-1_use smartthings_detects_automatically turn_run homeseer event,"['use smartthings', 'detects', 'automatically turn', 'run homeseer event', 'blink lights', 'blink lights philips', 'blink', 'auto', 'event nest', 'homeseer event']","[""When Button press from Button widget, do Start Cool Mode using tado Air Conditioning. Boost air conditioning to __ Ã\x83Â\x83Ã\x82Â\x82Ã\x83Â\x82Ã\x82Â°. Want to give your air conditioning a quick boost? Now it's just a tap away."", ""When Button press from Button widget, do Start Fan Mode using tado Air Conditioning. Start your AC's fan mode. This will activate your AC's fan modeEnjoy!"", ""When Button press from Button widget, do Start Heat Mode using tado Air Conditioning. Boost AC heating to ___Ã\x83Â\x83Ã\x82Â\x82Ã\x83Â\x82Ã\x82Â°. Want to give your air conditioning a quick heating boost? Now it's just a tap away.""]"
0,160,0_presence detected smartthings_detected smartthings_alarm activated_turn automatically,"['presence detected smartthings', 'detected smartthings', 'alarm activated', 'turn automatically', 'smartthings turn', 'notifications', 'alerts', 'alert', 'smartthings', 'sensor']","['When Opened from SmartThings, do Start recording using Oco Camera. Start record video if door opened. Applet starts record video from Oco camera if your SmatThings multipurpose Sensor opened', 'When Opened from SmartThings, do Start recording using Oco Camera. Start recording video when someone opens the door. Oco camera starts to record video when someone opens the door equipped with SmartThings multipurpose sensor', ""When Button press from Button widget, do Start recording using Manything. Begin recording security footage. If you hear something suspicious or know that there's something you'll want to record, you can use this Recipe to have one of your cameras start recordingWant to stop recording? Try this Recipe: www.ifttt.com/recipes/252455""]"
1,157,1_use wink_set ecobee_automatic_turn device,"['use wink', 'set ecobee', 'automatic', 'turn device', 'ecobee', 'ecobee sleep', 'transition ecobee', 'automatic classic', 'enabled', 'pulse']","['When New daily movement logged from UP by Jawbone, do Quick add event using Google Calendar. Step Motivation. text/email a buddy(s) when you hit your step goal for the day.', 'When Sleep goal achieved from UP by Jawbone, do Quick add event using Google Calendar. If Sleep target achieved, then log an event in Google calendar. When you sleep target is achieved on UP, log an event on your google calendarYou will get to look at your sleep successes alone!', 'When Daily step goal achieved from Fitbit, do Quick add event using Google Calendar. If step goal is achieved, log in Google Calendar. This Applet will log what days you have achieved your predetermined step goal.']"
2,153,2_automatically turn_philips hue turn_turn switch_change light,"['automatically turn', 'philips hue turn', 'turn switch', 'change light', 'philips hue lights', 'turn lights philips', 'turn light', 'applet turn', 'hue turn', 'relay']","['When Sunset from Weather Underground, do Power on device using Energenie Mi|Home. Switch your Mi|Home adapter ON everyday at sunset. The socket will switch on at sunset each day', 'When Sunset from Weather Underground, do Turn on lights using Philips Hue. Turn on lights at sunset. Turn on the lights when the sun goes down', ""When Sunset from Weather Underground, do Turn on lights using Philips Hue. If it's ALMOST sunset then turn on the lights. It's too dark when the sun already has set innit :-)""]"
3,150,3_change light_turn light_lamp_blink lights philips,"['change light', 'turn light', 'lamp', 'blink lights philips', 'color philips hue', 'change light color', 'blink lights', 'change color philips', 'turn red', 'blink']","['When Current condition changes to from Weather Underground, do Call a function using Particle. Turn ""take umbrella"" warning light off if weather changes to ""clear"". This is one in 4 Applets used to turn two warning lights over my coat rack on or off based on the weatherTwo Applets turn on, or off, a light based on temperatureThe other two turn on, or off, a light based on rainfall or clear skyWeather info from weather.com service is used to call a function on a Particle Photon that lights the warning lightsYou have to select the ""digitalWrite"" function on your Photon below and make sure that the lamp is connected to pin D0 (or other that you indicate in the action, below).', 'When Current condition changes to from Weather Underground, do Call a function using Particle. Turn ""take umbrella"" warning light on if weather changes to ""rain"". This is one in 6 Applets used to turn two warning lights over my coat rack on or off based on the weatherTwo Applets turn on, or off, a light based on temperatureThe other two turn on, or off, a light based on rainfall or clear skyWeather info from weather.com service is used to call a function on a Particle Photon that lights the warning lightsYou have to select the ""digitalWrite"" function on your Photon below and make sure that the lamp is connected to pin D0 (or other that you indicate in the action, below).', 'When Current condition changes to from Weather Underground, do Call a function using Particle. Turn ""take umbrella"" warning light on if weather changes to ""snow"". This is one in 6 Applets used to turn two warning lights over my coat rack on or off based on the weatherTwo Applets turn on, or off, a light based on temperatureThe other two turn on, or off, a light based on rainfall or clear skyWeather info from weather.com service is used to call a function on a Particle Photon that lights the warning lightsYou have to select the ""digitalWrite"" function on your Photon below and make sure that the lamp is connected to pin D0 (or other that you indicate in the action, below).']"
4,148,4_turn heater_insight switch_turn ac_plug turn,"['turn heater', 'insight switch', 'turn ac', 'plug turn', 'turn wemo switch', 'heater', 'wemo insight switch', 'turn link', 'turn link plug', 'air conditioner']","['When Current temperature drops below from Weather Underground, do Turn on using WeMo Smart Plug. Turn on heater. Choose the weather channel in your city', 'When Current temperature rises above from Weather Underground, do Turn on using WeMo Insight Switch. Turn on the AC if it is too hot.. Turns on a window AC unit controlled by a WeMo Insight if the outside temperature gets too warm Keeps the kitty cool.', ""When Current temperature drops below from Weather Underground, do Turn off using WeMo Smart Plug. Turn Off AC When it's Cold Outside. If you have an air conditioner plugged into a Wemo switch, it will automatically turn off when the outside temperature goes below a threshold.""]"
5,137,5_set thermostat_add event google_ecobee_event starts google,"['set thermostat', 'add event google', 'ecobee', 'event starts google', 'scheduled', 'event google', 'add event', 'thermostat set thermostat', 'starts google', 'set temperature']","['When Event from search starts from Google Calendar, do Set oven to sabbath mode using GE Appliances Cooking. Turn on Sabbath mode using Google Calendar. Set a ""Sabbath Starts"" event on your calendar to automatically turn on Sabbath mode on your GE Appliances Oven', 'When Event from search starts from Google Calendar, do Turn off oven using GE Appliances Cooking. Turn off your oven using a Calendar event. Set a ""turn off oven"" event on your calendar to schedule turning off your GE Appliances Oven', 'When Event from search starts from Google Calendar, do Set vacation mode using GE Appliances GeoSpring. Put your water heater into vacation mode using Google Calendar events.. This recipe will put your water heater into vacation mode when any calendar events with the word ""vacation"" begin.']"
6,111,6_start activity harmony_activity harmony turn_activity harmony_start activity,"['start activity harmony', 'activity harmony turn', 'activity harmony', 'start activity', 'harmony turn', 'harmony', 'turn philips hue', 'turn tv', 'sound link siren', 'link siren']","['When Any new motion from WeMo Motion, do Turn lights on using LIFX. Turn on your lights when new motion is detected. This Recipe will turn your Lifx lights on whenever your WeMo motion detects motion.', 'When Motion detected from D-Link Motion Sensor, do Turn on color loop using Philips Hue. If motion detected by D-Link Motion Sensor , then color loop All lights.. If motion detected by D-Link Motion Sensor , then color loop All lights.', 'When Motion detected from D-Link Motion Sensor, do Turn on color loop using Philips Hue. If motion detected by D-Link Motion Sensor , then color loop All lights.. If motion detected by D-Link Motion Sensor , then color loop All lights.']"
7,108,7_siren_alarm turn_motion sensor_alarm change,"['siren', 'alarm turn', 'motion sensor', 'alarm change', 'location start', 'alarm turns', 'profile transition ecobee', 'alert', 'setting', 'area location start']","['When First family member arrives at a specific place from Life360, do Disarm all modes using Scout Alarm. Disarm Scout Alarm when first family member arrives to a place. Family geofence disarming for Scout Alarm using Life360.', 'When Switched on from SmartThings, do Arm using Arlo. Arm Arlo via Smartthings Mode. You need to create a virtual switch in SmartThings (https://community.smartthings.com/t/faq-creating-a-virtual-device/11282)Don\'t forget to reconnect ST channel in IFTTT after creating the virtual switch to see new virtual switch in IFTTT.Then turn this switch on in your ST routines (e.g""Away"" -> ON)For disarm recipe: https://ifttt.com/recipes/437163-disarm-arlo-via-smartthings-mode', 'When First family member arrives at a specific place from Life360, do Disarm the security panel using HomeControl Flex. Disarm security system when first person arrives home. The first person to arrive home will trigger the security system to disarm based on the geographic location of that persons phone.']"
8,96,8_amazon alexa start_alexa start_tell alexa turn_phrase amazon alexa,"['amazon alexa start', 'alexa start', 'tell alexa turn', 'phrase amazon alexa', 'alexa turn', 'amazon alexa', 'alexa say phrase', 'say alexa', 'use alexa', 'alexa say']","['When Say a specific phrase from Amazon Alexa, do Start activity using Harmony. Watch TV. Amazon Echo instructs Harmony to select the watch TV activity.', 'When Say a specific phrase from Amazon Alexa, do Start activity using Harmony. turn off tv. turn off tv', 'When Say a specific phrase from Amazon Alexa, do Start activity using Harmony. Echo in Harmony. Use Amazon Echo to turn on your TV']"
9,86,9_philips hue turn_automatically turn_activate scene_switch automatically,"['philips hue turn', 'automatically turn', 'activate scene', 'switch automatically', 'turn hue lights', 'turn exit', 'leave turn', 'turn hue', 'turn leave', 'turn lights philips']","['When You exit an area from Location, do Turn off lights using Philips Hue. Turn Hue lights off when I leave. Turn lights out at 12612', 'When You exit an area from Location, do Turn off lights using Philips Hue. Turn off your lights when you leave home. Your Philips Hue lights will turn off when your Android device exits a defined area.', 'When You exit an area from Location, do Turn off lights using Philips Hue. Turn off your lights when you leave home. Your Philips Hue lights will turn off when your Android device exits a defined area.']"
10,86,10_press wink relay_wink relay_button press wink_insight switch turn,"['press wink relay', 'wink relay', 'button press wink', 'insight switch turn', 'turn hue lights', 'insight switch', 'turn hue', 'press wink', 'switch turn', 'relay']","['When Long press from WeMo Light Switch, do Toggle on/off using WeMo Insight Switch. Long Press WeMo Switch Toggles On/Off All WeMo Insight Plugs. I use this recipe to toggle my plug-in lighting throughout my home.', 'When Long press from WeMo Light Switch, do Toggle on/off using WeMo Insight Switch. if #longpress Wemo Light Switch, then toggle Wemo insight switch. Applet to control a wemo insight switch via the longpress feature on wemo light switch.', 'When Long press from WeMo Light Switch, do Turn off using WeMo Insight Switch. Turn off all Insight switches with a long press. Turn off all Insight switches with a long press']"
11,86,11_phrase amazon alexa_amazon alexa_use alexa_list amazon alexa,"['phrase amazon alexa', 'amazon alexa', 'use alexa', 'list amazon alexa', 'echo alexa', 'say alexa', 'tell alexa', 'alexa', 'amazon alexa set', 'alexa set']","['When Say a specific phrase from Amazon Alexa, do Set temperature for a period of time using Honeywell Total Connect Comfort. Alexa setting a Honeywell cooling to 70 for three hours. Sets AC to 70 degrees for three hours', 'When Say a specific phrase from Amazon Alexa, do Set temperature for a period of time using Honeywell Total Connect Comfort. Alexa to trigger Honeywell A.C. to 72Sets Honeywell A.Cto 70 degrees for 2 hours', 'When Say a specific phrase from Amazon Alexa, do Set temperature for a period of time using Honeywell Total Connect Comfort. Alexa Temporarily Turn heat to 74. Honeywell user, downstairs heat turns up to 74F degrees for 3 hours.']"
12,85,12_phrase amazon alexa_amazon alexa_say alexa_alexa,"['phrase amazon alexa', 'amazon alexa', 'say alexa', 'alexa', 'hue say alexa', 'say phrase amazon', 'voice activation', 'philips hue say', 'phrase amazon', 'voice command']","['When Say a specific phrase from Amazon Alexa, do Change to random color using Philips Hue. If You say ""Alexa trigger i feel lucky"", then change to random color on lights. For bundled voice-activation recipes, including other voice products and services, visit www.saymosaic.com', 'When Say a specific phrase from Amazon Alexa, do Change color of lights using LIFX. If You say ""Alexa trigger normal lighting"", then change to warm white color at 100% brightness. For bundled voice-activation recipes, including other voice products and services, visit www.saymosaic.com', 'When Say a specific phrase from Amazon Alexa, do Change color using Philips Hue. If You say ""Alexa trigger stop fancy colors"", then change color on lights. For bundled voice-activation Applets, including other voice products and services, visit www.saymosaic.com']"
13,83,13_start program_automatic_start zone_manual,"['start program', 'automatic', 'start zone', 'manual', 'underground start', 'quick honeywell evohome', 'honeywell evohome', 'quick honeywell', 'enable', 'honeywell']","['When Current temperature rises above from Weather Underground, do Enable a quick action using Honeywell evohome. No need for heating. Above 19 degrees outside, turn of heating', 'When Current temperature rises above from Weather Underground, do Set temperature using Nest Thermostat. Temp above 85 set Nest to 70. If outside temperature rises above 85F set Nest to 70F', 'When Current temperature rises above from Weather Underground, do Set temperature using Nest Thermostat. Cool Down. Set NEST AC to 77 if outside temp rises about 77']"
14,83,14_switch appliance_devices things_applet let_blink light,"['switch appliance', 'devices things', 'applet let', 'blink light', 'blink', 'add event google', 'anythings discover best', 'coffee machine', 'withings turn', 'message']","['When Body Scale - New measurement from Withings, do Log your weight using Misfit. Withings Weight to Misfit. Body Scale and Misfit App', 'When Body Scale - New measurement from Withings, do Log your weight using Misfit. Withing Weight to Misfit. Withings weight to misfit weight automatically.', 'When Body Scale - New measurement from Withings, do Log your weight using Misfit. Log your weight in Misfit via Withings Body Scale (in Kg). Log your weight in Kg in Misfit via Withings Body Scale']"
15,73,15_phrase google assistant_alarm activated_activate wink_google assistant,"['phrase google assistant', 'alarm activated', 'activate wink', 'google assistant', 'use wink', 'activate shortcut wink', 'phrase google', 'simple phrase google', 'activate wink shortcut', 'motion detected']","[""When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. When iPhone senses you're home, turn on lights. When your iPhone senses you are home, trigger Wink to turn on your lightsTips: 1) Use Wink compatible lights2) Use the Wink HUB to allow your smart products to work together3) Create a Shortcut in the Wink App to turn on lights, then use IFTTT to trigger this shortcut when your iPhone senses you are home."", 'When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. When Android senses your home, turn on lights. When your Android phone senses you are home, trigger Wink to turn on your lights. Tips: 1) Use Wink compatible lights. 2) Use the Wink HUB to allow your smart products to work together. 3) Create a Shortcut in the Wink App to turn on lights, then use IFTTT to trigger this shortcut when your Android phone senses you are home.', 'When You enter an area from Location, do Activate shortcut using Wink: Shortcuts. When Android senses your home, turn on lights. When your Android phone senses you are home, trigger Wink to turn on your lightsTips: 1) Use Wink compatible lights2) Use the Wink HUB to allow your smart products to work together3) Create a Shortcut in the Wink App to turn on lights, then use IFTTT to trigger this shortcut when your Android phone senses you are home.']"
16,71,16_philips hue automatically_presence sensor_automatically set_automatically turn,"['philips hue automatically', 'presence sensor', 'automatically set', 'automatically turn', 'hue automatically', 'sensors', 'hue lights turn', 'auto', 'lights automatically', 'honeywell evohome']","['When Nest set to Away from Nest Thermostat, do Turn off using WeMo Smart Plug. IF NEST SET TO AWAY THEN TURN OFF WEMO SWITCH. IF NEST SET TO AWAY THEN TURN OFF WEMO SWITCH', 'When Nest set to Away from Nest Thermostat, do Turn off using WeMo Smart Plug. If Nest thermostat set to away then turn off wemo switch. Get your Nest thermostat to turn off a wemo switch when away mode is enabled.', 'When Nest set to Away from Nest Thermostat, do Turn off using WeMo Smart Plug. If Nest thermostat set to away then turn off wemo switch. Get your Nest thermostat to turn off a wemo switch when away mode is enabled.']"
17,70,17_switch smartthings turn_switch smartthings_heater_time toggle,"['switch smartthings turn', 'switch smartthings', 'heater', 'time toggle', 'water heater', 'wake', 'turn device', 'turn smartthings', 'smartthings turn', 'lamp']","['When Every day of the week at from Date & Time, do Turn off using WeMo Smart Plug. Turn on cat feeder at specific times. I use this coupled with a Super Feeder to feed the cats on time on the weekends', ""When Every day of the week at from Date & Time, do Turn on using WeMo Smart Plug. Turn Wemo 1 on when it's 8:00pm Wednesdays. Turn Wemo 1 on when it's 8:15pm on Sundays and Wednesdays"", 'When Every day of the week at from Date & Time, do Turn off using WeMo Smart Plug. Turn off at feeder at specific times. This is for turning off a Super Feeder at a specific time']"
