Topic,Count,Name,Representation,Representative_Docs
18,69,18_loop philips hue_set time_philips hue change_set light,"['loop philips hue', 'set time', 'philips hue change', 'set light', 'philips hue hue', 'philips hue turn', 'alarm clock', 'change hue', 'color philips hue', 'time set']","['When Every year on from Date & Time, do Change color from image using Philips Hue. Celebrate Swedish National Day with your Hue lights!. Change your Hue lights to match the colours of the Swedish flag on 6 June each year.Swedish National Day commemorates the election of King Gustav Vasa in 1523This event is considered the foundation of modern Sweden.', 'When Every year on from Date & Time, do Change color from image using Philips Hue. Viva Espana! Celebrate Spanish National Day with your Hue lights.. Change your Hue lights to match the colours of the Spanish flag on 12 October each year.The National Day of Spain commemorates the exact date when Christopher Columbus first set foot in the Americas.', 'When Every year on from Date & Time, do Change color from image using Philips Hue. Celebrate Italian Republic Day with your Hue lights!. Change your Hue lights to match the colours of the Italian flag on 2 June each year']"
19,67,19_alexa alarm_amazon alexa turn_phrase amazon alexa_amazon alexa,"['alexa alarm', 'amazon alexa turn', 'phrase amazon alexa', 'amazon alexa', 'alexa turn lights', 'say alexa', 'goes amazon alexa', 'say alexa turn', 'alexa', 'alexa turn']","['When Say a specific phrase from Amazon Alexa, do Turn on lights using Philips Hue. If You say ""Alexa trigger I am home"", then turn on lights#i_am_home. For bundled voice-activation recipes, including other voice products and services, visit www.saymosaic.com', 'When Say a specific phrase from Amazon Alexa, do Turn on lights using Philips Hue. If You say ""Alexa trigger I am home"", then turn on lights#i_am_home. For bundled voice-activation recipes, including other voice products and services, visit www.saymosaic.com', 'When Say a specific phrase from Amazon Alexa, do Turn lights off using LIFX. If You say ""Alexa trigger lights off"", then turn lights off. For bundled voice-activation recipes, including other voice products and services, visit www.saymosaic.com']"
20,66,20_leave set_leave automatically_set location_insight switch,"['leave set', 'leave automatically', 'set location', 'insight switch', 'manually', 'appliances', 'insight switch turn', 'wemo insight switch', 'toggle wemo plug', 'turn living room']","['When You exit an area from Location, do Turn off using WeMo Insight Switch. Turn off belkin wemo insight switch when leaving an area. Select area and wemo switch, then when you leave the area, the switch turns off, in case you forgot to do it manually ;)', 'When You exit an area from Location, do Turn off using WeMo Insight Switch. Turn Off WeMo Insight Switch when I leave an area. e.g. it turns off when you leave for work', 'When You exit an area from Location, do Turn off using WeMo Insight Switch. Turn Off WeMo Insight Switch when I leave an area. e.git turns off when you leave for work']"
21,59,21_turn philips hue_loop philips hue_philips hue turn_set location,"['turn philips hue', 'loop philips hue', 'philips hue turn', 'set location', 'automatic', 'philips hue blink', 'turned automatic', 'turn hue light', 'philips hue light', 'philips hue lights']","['When Ignition turned on in area from Automatic Classic, do Blink lights using Philips Hue. Blink my house lights when I leave work. Let everyone know you are on your way home.', 'When Ignition turned on in area from Automatic Classic, do Blink lights using Philips Hue. Blink my house lights when I leave work. Let everyone know you are on your way home.', 'When Ignition turned off in area from Automatic Classic, do Turn on color loop using Philips Hue. Turn off the car, turn on the lights. Make a great entrance or announce you just arrived home in style']"
22,59,22_activate scene_wink relay_siren_use applet,"['activate scene', 'wink relay', 'siren', 'use applet', 'device homeseer', 'relay', 'ready', 'activate scene almond', 'homecontrol', 'completed']","['When Button press from Button widget, do Arm system using Home8. Arm Home8. This recipe arms your Home8 system.', 'When Button press from Button widget, do Arm system using Home8. Arm MivaLife. This Applet arms your MivaLife system.', 'When Button press from Button widget, do Arm system using Home8. Arm. This recipe arms your Home8 system']"
23,57,23_alexa turn lights_say alexa lights_alexa lights_lights alexa,"['alexa turn lights', 'say alexa lights', 'alexa lights', 'lights alexa', 'amazon alexa turn', 'say alexa turn', 'phrase amazon alexa', 'alexa turn', 'alexa say phrase', 'alexa alarm']","['When Say a specific phrase from Amazon Alexa, do Turn off lights using Philips Hue. Alexa Trigger Lights Off. If You say ""Alexa trigger lights off"", then turn off All lights', 'When Say a specific phrase from Amazon Alexa, do Turn off lights using Philips Hue. Make Alexa turn all Hue lights off. Say ""Alexa trigger lights off""', 'When Say a specific phrase from Amazon Alexa, do Turn off lights using Philips Hue. Make Alexa turn all Hue lights off. Say ""Alexa trigger lights off""']"
24,56,24_phrase google assistant_shut_phrase google_triggering,"['phrase google assistant', 'shut', 'phrase google', 'triggering', 'google assistant', 'sensor', 'simple phrase google', 'add event google', 'say simple phrase', 'event google']","['When Wind speed rises above from Weather Underground, do Stop watering using Rachio. Stop Watering if Wind Rises above 20 MPH. This is a must use Recipe for areas were wind is commonIt prevents your neighbor from getting their lawn watered by your system.', 'When Rain detected from Netatmo Weather Station, do Rain delay using Rachio. Stop watering for a day if rainfall is detected. Stops watering on your Rachio sprinkler system for 1 day, if any rainfall is detected', 'When Wind speed rises above from Weather Underground, do Rain delay using Rachio. Windspeed rain delay for Rachio Iro. Set a windspeed that will rain delay your Rachio Iro from watering your lawn during excessively windy days']"
25,51,25_adjust heat setting_change temperature_heat setting_ignition turned,"['adjust heat setting', 'change temperature', 'heat setting', 'ignition turned', 'turn heat', 'period time honeywell', 'turn heating', 'turned area automatic', 'pause', 'adjust heat']","['When You enter an area from iOS Location, do Set temperature range using Nest Thermostat. Set thermostat when you enter area.. Use to set temperature range when entering an area', 'When You exit an area from Location, do Set temperature using Nest Thermostat. Set Nest thermostat temperature when you leave a location (such as work). This Applet uses a location to turn on your Nest thermostat and set to a desired temperature For example, you can start cooling or heating your home based on when you leave work so the temperature is comfortable when you arrive at home.', 'When You enter an area from Location, do Set temperature range using Nest Thermostat. Set thermostat when you enter area.. Use to set temperature range when entering an area']"
26,51,26_applet turn lights_lights choose_turn light emberlight_turn light,"['applet turn lights', 'lights choose', 'turn light emberlight', 'turn light', 'light turn light', 'lights set', 'light emberlight', 'lights turn lights', 'turn lights turn', 'lights make']","['When Last family member leaves a specific place from Life360, do Activate shortcut using Wink: Shortcuts. If last family member leaves, then turn off kitchen lights and set thermostat to away. If last family member leaves Chung Family - Home, then turn off kitchen lights and set thermostat to away', 'When Last family member leaves a specific place from Life360, do Activate shortcut using Wink: Shortcuts. If last family member leaves, then turn off kitchen lights and set thermostat to away. If last family member leaves Chung Family - Home, then turn off kitchen lights and set thermostat to away', 'When First family member arrives at a specific place from Life360, do Resume program using ecobee. When The First Family Member Arrives At Home, Set Thermostat To Resume Schedule. Using Life360, this recipe detects when the first family member arrives back at home, and sets the Ecobee to Resume Normal ScheduleWorks best when paired with a recipe to set Away Mode when all Family members have left home.']"
27,48,27_light alarm_hue blink lights_blink device_blinks,"['light alarm', 'hue blink lights', 'blink device', 'blinks', 'alarm triggered', 'notification lametric time', 'blink device greenwave', 'philips hue lights', 'phillips hue lights', 'turn philips hue']","['When Smoke alarm emergency from Nest Protect, do Turn on using WeMo Smart Plug. Smoke Emergency Light Switch. If Nest Protect detects emergency levels of smoke, WEMO switches will turn on', 'When Smoke alarm emergency from Nest Protect, do Take a Snapshot and Email It using SpotCam HD. If your Nest Protect raise a smoke emergency alarm then your SpotCam take a snapshot. If your Nest Protect raise a smoke emergency alarm  then your SpotCam take a snapshot', 'When Smoke alarm emergency from Nest Protect, do Turn on lights using Philips Hue. Hallway Nest Protect. Hallway Nest Protect turns on all lights if smoke emergency']"
28,47,28_control lights_time activate_activated_led,"['control lights', 'time activate', 'activated', 'led', 'rise shine', 'location activate', 'underground activate', 'alarm clock', 'detect', 'switch use']","[""When You exit an area from Location, do Set Output Level using littleBits. If I EXIT Zone 1, then change my cloudBit's output to 0% voltage.. Make an honest ETA device with littleBits that lets your housemate [parent, significant other, roommate] know when you are on the way home and likely to arriveThis cloud-connected progress meter tracks your proximity to home by reading your location from your smartphone and displaying it on a bargraph module in your houseIf arriving home first, you can text your housemate with the press of a button to let him/her know that you got home first."", ""When You exit an area from Location, do Set Output Level using littleBits. If I EXIT Zone 5 [home], then change my cloudBit's output to 80% voltage.. Make an honest ETA device with littleBits that lets your housemate [parent, significant other, roommate] know when you are on the way home and likely to arriveThis cloud-connected progress meter tracks your proximity to home by reading your location from your smartphone and displaying it on a bargraph module in your house If arriving home first, you can text your housemate with the press of a button to let him/her know that you got home first."", ""When You exit an area from Location, do Set Output Level using littleBits. If I EXIT Zone 2, then change my cloudBit's output to 20% voltage.. Make an honest ETA device with littleBits that lets your housemate [parent, significant other, roommate] know when you are on the way home and likely to arriveThis cloud-connected progress meter tracks your proximity to home by reading your location from your smartphone and displaying it on a bargraph module in your houseIf arriving home first, you can text your housemate with the press of a button to let him/her know that you got home first.""]"
29,46,29_amazon alexa turn_phrase amazon alexa_amazon echo alexa_alexa say phrase,"['amazon alexa turn', 'phrase amazon alexa', 'amazon echo alexa', 'alexa say phrase', 'list amazon alexa', 'say alexa turn', 'amazon alexa', 'alexa turn', 'say alexa', 'alexa say']","['When Say a specific phrase from Amazon Alexa, do Turn off using WeMo Lighting. Turn off Light. Turn Wemo Light on with Amazon Echo by writing a name for your light and selecting the correct light bulb from the list.', 'When Say a specific phrase from Amazon Alexa, do Turn off using WeMo Smart Plug. If You say ""Alexa trigger good night"", then turn off WeMo Switch#goodnight. For bundled voice-activation recipes, including other voice products and services, visit www.saymosaic.com', 'When Say a specific phrase from Amazon Alexa, do Turn off using WeMo Smart Plug. If You say ""Alexa trigger good night"", then turn off WeMo Switch#goodnight. For bundled voice-activation recipes, including other voice products and services, visit www.saymosaic.com']"
30,44,30_set time_automatically turn_turn hue lights_philips hue turn,"['set time', 'automatically turn', 'turn hue lights', 'philips hue turn', 'automatically turn lights', 'turn hue', 'hue turn lights', 'philips hue lights', 'hue lights turn', 'hue turn hue']","['When Every day at from Date & Time, do Turn off lights using Philips Hue. Turn off all Hue lights every day at a selected time. Turn off all Hue lights every day at a selected time', 'When Every day at from Date & Time, do Turn off lights using Philips Hue. Turn off all Hue lights every day at a selected time. Turn off all Hue lights every day at a selected time', 'When Every day at from Date & Time, do Turn off lights using Philips Hue. Turn off all Hue lights every day at a selected time. Turn off all Hue lights every day at a selected time']"
31,44,31_celsius_forecast calls weather_update indicator_calls weather,"['celsius', 'forecast calls weather', 'update indicator', 'calls weather', 'forecast calls', 'tomorrow forecast calls', 'instructions', 'forecast', 'notification', 'car notification']","[""When Today's weather report from Weather Underground, do Send my car a notification using BMW Labs. Weather. today's weather is....."", ""When Today's weather report from Weather Underground, do Send my car a notification using BMW Labs. Weather. At 7:00 AM"", ""When Today's weather report from Weather Underground, do Send my car a notification using BMW Labs. Weather. Weather""]"
32,43,32_temperatures_fahrenheit_celsius_alarm turns,"['temperatures', 'fahrenheit', 'celsius', 'alarm turns', 'weather forecast', 'simple applet', 'forecast', 'weather conditions', 'voice announcement', 'freezing']","[""When Today's weather report from Weather Underground, do Voice announcement using Ubi. Ubi Daily Weather. morning weather report, from your Ubi"", ""When Today's weather report from Weather Underground, do Voice announcement using Ubi. Morning Weather Report. Have Ubi tell me the weather every morning"", ""When Today's weather report from Weather Underground, do Voice announcement using Ubi. Ubi, give me today's weather forecast each day at the same time.. Change the Voice Announcement field to have Ubi tell you what you want to hear.""]"
33,42,33_nest thermostat set_rises nest thermostat_thermostat set_temperature rises nest,"['nest thermostat set', 'rises nest thermostat', 'thermostat set', 'temperature rises nest', 'temps', 'set dial', 'temperature rises', 'low temperature', 'temp', 'temperature current']","[""When Today's weather report from Weather Underground, do Set dial label using Wink: Nimbus. Send weather to Nimbus. Get low, current, and high on your nimbus"", ""When Today's weather report from Weather Underground, do Set dial label using Wink: Nimbus. High/Low/Current temperature displayed on Nimbus. Add this Applet multiple times and change the time to get hourly out more frequent updates on the Nimbus"", ""When Today's weather report from Weather Underground, do Set dial label using Wink: Nimbus. Send Current Temp to Wink: Nimbus. Change the time to your preference and select which display you want.""]"
34,42,34_turn alarm_automatically activate_applet set_set time,"['turn alarm', 'automatically activate', 'applet set', 'set time', 'set time day', 'wake', 'lights automatically', 'change color lights', 'time change color', 'automatically day']","['When Every day of the week at from Date & Time, do Change color of lights using LIFX. LIFX Chill-Out Time. Simple LiFX Applet to set a relaxing mood any time / day of the week.', 'When Every day of the week at from Date & Time, do Turn lights off using LIFX. LIFX PM10:00 fade off on week day. Monday to Thursday LIFX turns off at 10:00pm(Fade off)', 'When Every day of the week at from Date & Time, do Turn lights on using LIFX. If <Picked Day> of the week at <Given Time> then turn LIFX lights on.. Turn on your LIFX lights at a given timePick the light/light group, fade in duration and color.']"
35,40,35_philips hue use_hue use_lights blink_notification,"['philips hue use', 'hue use', 'lights blink', 'notification', 'sensor', 'activated', 'wake', 'turning', 'want lights', 'lights random']","['When Device is unplugged from Android Battery, do Send data to Adafruit IO using Adafruit. Store Battery Info in Adafruit. Make sure you set your feed on Adafruit IO It also works out best if you setup the battery disconnect one as well.', 'When Device is plugged in from Android Battery, do Send data to Adafruit IO using Adafruit. Store Battery Info in Adafruit. Store battery into in io.Adafruit make sure you choose your feedWorks best if you are also running the disconnect as wellPut them both in the same feed and you can see how long you are charging and how long your battery lastsThe ups are charges and the downs are discharging.', 'When Battery drops below 15% from Android Battery, do Send data to Adafruit IO using Adafruit. If android battery is low, then send data to Battery feed. This is useful to track when and how often you let your battery run low on your android phoneThe value sent to the feed is your battery percentage.']"
36,37,36_philips hue turn_hue turn lights_change hue lights_turn hue light,"['philips hue turn', 'hue turn lights', 'change hue lights', 'turn hue light', 'hue turn', 'hue light', 'hue bulb', 'change hue', 'blink lights philips', 'turn light turn']","['When New Motion Detected from Ring, do Blink lights using LIFX. Visual Warning if your Ring doorbell detects motion, LIFX Edition. This recipe alerts you by flashing a LIFX bulb red if your Ring doorbell detects any motion.', 'When New Motion Detected from Ring, do Turn on lights using Philips Hue. Turn on your Hue light when Ring detects motion at your door. Deter burglars and welcome guests automatically by lighting up your house when the Ring video doorbell detects motion.', 'When New Motion Detected from Ring, do Turn on lights using Philips Hue. Turn on your Hue light when Ring detects motion at your door. Deter burglars and welcome guests automatically by lighting up your house when the Ring video doorbell detects motion.']"
37,36,37_hue lights color_lights color loop_lights notify_toggle lights philips,"['hue lights color', 'lights color loop', 'lights notify', 'toggle lights philips', 'turn lights red', 'button turn', 'toggle lights', 'blink lights', 'turn lights stack', 'light switch']","['When Flic is clicked from Flic, do Blink lights using LIFX. Double-click for danger.. If I double click my White flic button it notifies everybody in the house and I need emergency help by flashing every LIFX Like all red 5 times.', 'When Flic is clicked from Flic, do Blink lights using LIFX. Flash all LIFX lightbulbs red.. This recipe is used to call for the help of personal assistants, if I double click the button all of the lights in the house flash red which means there is an emergency and I need immediate assistance I have another recipe for when I just need general help.', 'When Flic is clicked from Flic, do Activate Multiple Room Scene using Hunter Douglas PowerView. Click a Flic to run Hunter Douglas shades in multiple rooms. Choose your Flic click style, then choose any Multiple Room Scene for Hunter Douglas PowerView Shades']"
38,35,38_switch ecobee_automatically activate_switched smartthings_set ecobee,"['switch ecobee', 'automatically activate', 'switched smartthings', 'set ecobee', 'ecobee set', 'smartthings presence', 'transition ecobee', 'setting', 'ecobee', 'hold transition ecobee']","['When You exit an area from Location, do Set comfort profile until next transition using ecobee. Set ecobee away when you leave an area. this statement will check your phone location and if you are outside of a set area your ecobee will be set as away.', 'When You exit an area from Location, do Set comfort profile until next transition using ecobee. Set ecobee away when you leave an area. This statement will allow you to select your comfort level when leaving a set area', ""When You exit an area from Location, do Set comfort profile until next transition using ecobee. Set Ecobee to 'away' when I leave area. Set your ecobee to away when you leave town.""]"
